,CO2,RCP26,RCP45,RCP60,RCP85
0,277.454,na,na,na,na
1,277.137,na,na,na,na
2,277.16,na,na,na,na
3,277.158,na,na,na,na
4,277.157,na,na,na,na
5,277.167,na,na,na,na
6,277.172,na,na,na,na
7,277.171,na,na,na,na
8,277.175,na,na,na,na
9,277.176,na,na,na,na
10,277.179,na,na,na,na
11,277.194,na,na,na,na
12,277.198,na,na,na,na
13,277.201,na,na,na,na
14,277.201,na,na,na,na
15,277.211,na,na,na,na
16,277.217,na,na,na,na
17,277.221,na,na,na,na
18,277.226,na,na,na,na
19,277.227,na,na,na,na
20,277.232,na,na,na,na
21,277.234,na,na,na,na
22,277.237,na,na,na,na
23,277.245,na,na,na,na
24,277.249,na,na,na,na
25,277.256,na,na,na,na
26,277.26,na,na,na,na
27,277.277,na,na,na,na
28,277.28,na,na,na,na
29,277.282,na,na,na,na
30,277.284,na,na,na,na
31,277.285,na,na,na,na
32,277.293,na,na,na,na
33,277.291,na,na,na,na
34,277.295,na,na,na,na
35,277.3,na,na,na,na
36,277.305,na,na,na,na
37,277.311,na,na,na,na
38,277.316,na,na,na,na
39,277.318,na,na,na,na
40,277.325,na,na,na,na
41,277.33,na,na,na,na
42,277.334,na,na,na,na
43,277.337,na,na,na,na
44,277.341,na,na,na,na
45,277.343,na,na,na,na
46,277.348,na,na,na,na
47,277.351,na,na,na,na
48,277.353,na,na,na,na
49,277.36,na,na,na,na
50,277.362,na,na,na,na
51,277.363,na,na,na,na
52,277.368,na,na,na,na
53,277.371,na,na,na,na
54,277.376,na,na,na,na
55,277.379,na,na,na,na
56,277.385,na,na,na,na
57,277.387,na,na,na,na
58,277.389,na,na,na,na
59,277.395,na,na,na,na
60,277.397,na,na,na,na
61,277.402,na,na,na,na
62,277.406,na,na,na,na
63,277.408,na,na,na,na
64,277.417,na,na,na,na
65,277.423,na,na,na,na
66,277.428,na,na,na,na
67,277.43,na,na,na,na
68,277.433,na,na,na,na
69,277.437,na,na,na,na
70,277.436,na,na,na,na
71,277.437,na,na,na,na
72,277.437,na,na,na,na
73,277.445,na,na,na,na
74,277.452,na,na,na,na
75,277.457,na,na,na,na
76,277.462,na,na,na,na
77,277.461,na,na,na,na
78,277.463,na,na,na,na
79,277.472,na,na,na,na
80,277.477,na,na,na,na
81,277.481,na,na,na,na
82,277.487,na,na,na,na
83,277.489,na,na,na,na
