Année ,2003,2015,2016,2017,2018,2019,Moyenne 2015-2019 ,2020,2021
01-janv. ,1619,1852,1731,2169,2002,1816,1914,1900,2139
02-janv. ,1769,1938,1766,2336,2110,1912,2012,1895,2054
03-janv. ,1673,1931,1701,2326,2110,1850,1984,1949,2149
04-janv. ,1572,1833,1811,2226,2132,1878,1976,1825,2194
05-janv. ,1550,1950,1751,2240,2067,1889,1979,1735,2173
06-janv. ,1622,1831,1777,2239,1989,1880,1943,1975,2112
07-janv. ,1658,1951,1705,2208,1979,1967,1962,1987,2103
08-janv. ,1696,1895,1701,2202,2052,1937,1957,1939,2149
09-janv. ,1767,1948,1716,2347,2036,1947,1999,1964,2168
10-janv. ,1668,1907,1722,2400,1944,1932,1981,1931,2047
11-janv. ,1624,1882,1816,2326,2013,1911,1990,1860,2198
12-janv. ,1749,1913,1718,2298,1958,2010,1979,1784,2163
13-janv. ,1730,1908,1737,2316,1960,1917,1968,1811,2188
14-janv. ,1760,1866,1748,2172,1903,1974,1933,1934,2211
15-janv. ,1840,1871,1792,2094,1827,1955,1908,1894,2102
16-janv. ,1711,1873,1753,2207,1950,1974,1951,1880,2053
17-janv. ,1709,1802,1683,2154,1960,1938,1907,1840,2009
18-janv. ,1686,1773,1758,2102,1912,1932,1895,1759,2189
19-janv. ,1744,1836,1793,2090,1934,1909,1912,1725,2173
20-janv. ,1824,1854,1853,2131,1902,1831,1914,1789,2238
21-janv. ,1745,1772,1787,2178,1944,1933,1923,1810,2319
22-janv. ,1679,1834,1760,2094,1866,2043,1919,1793,2283
23-janv. ,1643,1850,1825,2185,1841,1980,1936,1788,2084
24-janv. ,1532,1895,1627,2080,1870,1910,1876,1845,2110
25-janv. ,1600,1789,1767,2197,1856,2020,1926,1808,2114
26-janv. ,1548,1875,1672,2202,1799,2064,1922,1755,2140
27-janv. ,1703,1990,1777,2193,1760,1987,1941,1878,2127
28-janv. ,1561,1848,1726,2096,1703,2080,1891,1817,2204
29-janv. ,1570,1994,1776,2080,1776,2014,1928,1863,2238
30-janv. ,1647,2002,1655,2135,1811,2008,1922,1778,2141
31-janv. ,1591,1983,1692,2122,1808,2028,1927,1852,2037
01-févr. ,1558,1805,1750,2189,1746,2150,1928,1742,2281
02-févr. ,1546,1971,1784,2074,1774,2035,1928,1859,2039
03-févr. ,1686,2013,1754,2047,1726,1896,1887,1887,2121
04-févr. ,1703,2051,1691,2020,1768,2032,1912,1871,2105
05-févr. ,1596,2016,1709,1927,1855,2097,1921,1743,2121
06-févr. ,1605,2034,1688,2008,1859,2095,1937,1812,2035
07-févr. ,1633,2069,1587,1988,1843,2028,1903,1832,1977
08-févr. ,1599,2031,1699,1979,1797,2067,1915,1807,2122
09-févr. ,1580,2127,1695,1924,1844,2042,1926,1718,2068
10-févr. ,1612,2097,1721,1975,1908,1958,1932,1828,2078
11-févr. ,1602,2127,1668,1895,1844,2017,1910,1792,2033
12-févr. ,1657,2141,1748,1881,1816,1972,1912,1796,2127
13-févr. ,1604,2128,1791,1947,1866,1992,1945,1776,2009
14-févr. ,1579,2198,1737,1873,1850,1980,1928,1772,1965
15-févr. ,1589,2095,1732,1920,1786,2018,1910,1760,2045
16-févr. ,1453,2090,1722,1856,1966,2001,1927,1799,2105
17-févr. ,1632,2127,1659,1878,1849,1881,1879,1874,2045
18-févr. ,1692,2072,1705,1734,1761,2011,1857,1760,2086
19-févr. ,1644,2097,1705,1640,1954,2103,1900,1685,2124
20-févr. ,1641,2082,1675,1732,1924,2008,1884,1707,1959
21-févr. ,1624,2121,1648,1753,1857,1965,1869,1762,1988
22-févr. ,1615,1961,1784,1831,1847,1994,1883,1642,1917
23-févr. ,1681,2132,1695,1768,1948,1833,1875,1677,2053
24-févr. ,1661,2049,1651,1781,1922,1833,1847,1741,1982
25-févr. ,1656,2015,1616,1647,1931,2019,1846,1704,1920
26-févr. ,1641,1931,1668,1719,2001,1939,1852,1811,1901
27-févr. ,1691,1913,1725,1764,1965,1957,1865,1767,1882
28-févr. ,1660,1882,1614,1788,1968,1925,1835,1770,1878
29-févr. ,,,1833,,,,,1715,
01-mars ,1656,1898,1804,1664,2134,1872,1874,1782,1904
02-mars ,1582,1951,1702,1762,2188,1910,1903,1786,2045
03-mars ,1655,2001,1770,1733,2128,1748,1876,1773,1852
04-mars ,1611,1882,1736,1716,2089,1880,1861,1816,1862
05-mars ,1639,1902,1706,1533,2201,1868,1842,1783,1822
06-mars ,1545,1847,1701,1631,2158,1870,1841,1847,1877
07-mars ,1597,1844,1731,1702,2053,1859,1838,1695,1754
08-mars ,1542,1726,1768,1645,2108,1802,1810,1714,1879
09-mars ,1493,1840,1781,1706,2048,1774,1830,1831,1903
10-mars ,1577,1909,1798,1760,2085,1668,1844,1838,1905
11-mars ,1616,1818,1684,1675,1942,1766,1777,1910,1818
12-mars ,1581,1735,1743,1580,2046,1706,1762,1805,1873
13-mars ,1530,1807,1653,1704,1979,1691,1767,1791,1851
14-mars ,1525,1728,1731,1617,1929,1718,1745,1789,1702
15-mars ,1516,1674,1829,1565,1898,1746,1742,1860,1888
16-mars ,1513,1795,1803,1586,1906,1720,1762,2004,1874
17-mars ,1529,1828,1760,1613,1840,1635,1735,2055,1870
18-mars ,1535,1747,1831,1536,1789,1757,1732,2015,1878
19-mars ,1559,1698,1730,1633,1822,1684,1713,2130,1896
20-mars ,1492,1722,1625,1579,1789,1662,1675,2052,1815
21-mars ,1570,1673,1764,1604,1902,1701,1729,1946,1750
22-mars ,1558,1651,1773,1597,1891,1688,1720,2016,1760
23-mars ,1486,1755,1719,1578,1826,1698,1715,2174,1839
24-mars ,1574,1901,1789,1604,1885,1629,1762,2178,1826
25-mars ,1561,1726,1732,1594,1817,1665,1707,2346,1805
26-mars ,1480,1581,1779,1440,1853,1625,1656,2390,1681
27-mars ,1457,1700,1555,1525,1862,1686,1666,2432,1625
28-mars ,1555,1666,1792,1628,1826,1690,1720,2532,1515
29-mars ,1493,1576,1881,1512,1828,1664,1692,2398,1668
30-mars ,1436,1723,1731,1610,1805,1637,1701,2690,
31-mars ,1504,1644,1754,1619,1764,1619,1680,2756,
01-avr. ,1557,1624,1725,1603,1780,1689,1684,2811,
02-avr. ,1450,1606,1691,1512,1713,1701,1645,2660,
03-avr. ,1395,1681,1638,1581,1851,1686,1687,2778,
04-avr. ,1466,1560,1723,1531,1754,1668,1647,2702,
05-avr. ,1508,1523,1736,1576,1760,1663,1652,2692,
06-avr. ,1436,1573,1726,1573,1731,1649,1650,2722,
07-avr. ,1499,1655,1694,1531,1738,1675,1659,2659,
08-avr. ,1524,1679,1665,1556,1716,1664,1656,2605,
09-avr. ,1522,1674,1613,1532,1735,1622,1635,2519,
10-avr. ,1530,1685,1669,1541,1805,1667,1673,2592,
11-avr. ,1490,1655,1667,1598,1706,1607,1647,2444,
